Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63,Channel_64,Channel_65,Channel_66,Channel_67,Channel_68,Channel_69,Channel_70,Channel_71,Channel_72
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13759,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25633
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13759,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25634
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13840,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21932,344,-13025,9426,-3135,-32768,25635
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13586,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21958,21934,344,-13025,9426,-3135,-32768,25636
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13784,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21958,21933,344,-13025,9426,-3135,-32768,25637
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13789,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25638
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13835,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25639
0.0010406970977783203,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13704,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25640
0.012270927429199219,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13734,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25641
0.012270927429199219,-32768,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,-32768,32767,-32768,32767,-32768,32767,-32768,-32768,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,32767,32767,32767,32767,-32768,13829,-32768,-32768,32767,32767,32767,-32768,-32768,-32768,-32768,32767,-32768,32767,32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,21957,21933,344,-13025,9426,-3135,-32768,25642
